"GO.ID","Ontology","Term","result"
"GO:0098656","BP","anion transmembrane transport","0.00094"
"GO:0016192","BP","vesicle-mediated transport","0.0014"
"GO:0010020","BP","chloroplast fission","0.0021"
"GO:0006101","BP","citrate metabolic process","0.0021"
"GO:0006099","BP","tricarboxylic acid cycle","0.0022"
"GO:0014070","BP","response to organic cyclic compound","0.0063"
"GO:0071398","BP","cellular response to fatty acid","0.0064"
"GO:1902170","BP","cellular response to reactive nitrogen species","0.0073"
"GO:2000243","BP","positive regulation of reproductive process","0.0074"
"GO:0031537","BP","regulation of anthocyanin metabolic process","0.01"
"GO:0098542","BP","defense response to other organism","0.011"
"GO:0006631","BP","fatty acid metabolic process","0.013"
"GO:0009611","BP","response to wounding","0.014"
"GO:0071241","BP","cellular response to inorganic substance","0.016"
"GO:0009753","BP","response to jasmonic acid","0.016"
"GO:0043604","BP","amide biosynthetic process","0.017"
"GO:0006102","BP","isocitrate metabolic process","0.018"
"GO:0009694","BP","jasmonic acid metabolic process","0.019"
"GO:0008284","BP","positive regulation of cell population proliferation","0.019"
"GO:1900150","BP","regulation of defense response to fungus","0.019"
"GO:0140013","BP","meiotic nuclear division","0.02"
"GO:0010053","BP","root epidermal cell differentiation","0.02"
"GO:0007031","BP","peroxisome organization","0.021"
"GO:0034032","BP","purine nucleoside bisphosphate metabolic process","0.025"
"GO:0033875","BP","ribonucleoside bisphosphate metabolic process","0.025"
"GO:0006636","BP","unsaturated fatty acid biosynthetic process","0.025"
"GO:0008652","BP","cellular amino acid biosynthetic process","0.028"
"GO:0045333","BP","cellular respiration","0.031"
"GO:0051604","BP","protein maturation","0.031"
"GO:0006301","BP","postreplication repair","0.031"
"GO:0042753","BP","positive regulation of circadian rhythm","0.031"
"GO:0006109","BP","regulation of carbohydrate metabolic process","0.035"
"GO:0045892","BP","negative regulation of transcription, DNA-templated","0.035"
"GO:0015849","BP","organic acid transport","0.037"
"GO:0008380","BP","RNA splicing","0.041"
"GO:0007033","BP","vacuole organization","0.042"
"GO:0034614","BP","cellular response to reactive oxygen species","0.042"
"GO:1901700","BP","response to oxygen-containing compound","0.05"
"GO:0005777","CC","peroxisome","0.0029"
"GO:0009570","CC","chloroplast stroma","0.02"
"GO:0031372","CC","UBC13-MMS2 complex","0.03"
"GO:0031234","CC","extrinsic component of cytoplasmic side of plasma membrane","0.03"
"GO:0005737","CC","cytoplasm","0.042"
"GO:0015211","MF","purine nucleoside transmembrane transporter activity","0.00074"
"GO:0005345","MF","purine nucleobase transmembrane transporter activity","0.0018"
"GO:0016668","MF","oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor","0.0079"
"GO:0005319","MF","lipid transporter activity","0.011"
"GO:0015036","MF","disulfide oxidoreductase activity","0.017"
"GO:0016717","MF","oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water","0.017"
"GO:0035091","MF","phosphatidylinositol binding","0.029"
"GO:0016713","MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen","0.033"
"GO:0016746","MF","transferase activity, transferring acyl groups","0.036"
"GO:0051119","MF","sugar transmembrane transporter activity","0.043"
